wid,d,Î¸0,vigor,T1,T2,neglogl
w3c803c1,0.0001201382762796815,0.8042689514160156,4.539752197265624,1247.4250793457031,1367.943954467774,373.8939885842851
wdaebe9a,0.00015298958453203936,0.8480014038085938,3.7008331298828128,2177.6100158691406,2005.1109313964844,261.51267118971623
w457a2a0,0.00014968771442924143,0.9675726509094238,0.10000305175781254,1693.7755584716797,1342.3935890197758,149.37452185397797
wc71252e,6.403804845410743e-6,0.8569947788864374,2.263972055912018,1801.0249588638544,2072.828284651041,322.34341412036554
w8250429,3.3649416604619773e-8,0.6284780883789062,1.3041748046875004,1931.7199707031252,1343.864440917969,330.0484270630201
w5dd5645,1.992045436971741e-5,0.3891693079471588,0.8116621971130372,2617.5747990608215,1697.0082104206085,305.2209009099033
wa64273f,8.100754429073842e-5,1.2014440250396725,1.9530187606811524,114.34218883514411,2214.949941635132,340.16416064175496
w578a7cb,7.598665111315127e-5,0.7764886474609375,1.0607299804687502,1077.4734497070312,1579.2007446289062,290.3091928708933
wb651fe0,8.793280451174268e-5,1.0877854394912718,2.311060333251953,979.7148704528812,1442.1044588088992,191.65955649143558
wcb87506,0.0003209883548374787,0.8946635150909423,4.0776818752288815,1159.0374946594238,1253.041231632233,91.74387626421486
w11ae0c3,0.0002677530181743614,0.7549472045898438,0.1000244140625,1759.220886230469,1376.1322021484375,154.69611287343565
w0c70a81,3.493892628456787e-7,1.1221531319012865,0.12551597766578212,327.9418275924399,1318.1977472966537,353.4304492242481
wbcb6e6a,7.695454654615809e-5,1.085592679977417,4.816017532348633,1049.6675252914429,1247.3682165145876,195.66319741999797
wdf61453,8.930156498076622e-5,0.7011205053329468,4.9220520019531255,884.8904132843018,1421.1031198501587,188.42701095561173
wa3a9848,2.0433321768585028e-7,0.9156672716140748,1.788468933105469,1975.2086639404297,2521.1107969284058,322.2837885174704
wf63b737,0.00013652012768369066,1.1052500963211058,4.977242851257324,1078.0155420303345,1323.803234100342,130.19257355281977
w4ff13f3,0.00010589783587299627,1.3414029788970945,0.38141670227050795,632.8553915023806,1211.400580406189,156.0548435141197
w313d7aa,1.4421800056393062e-10,0.740777587890625,2.024191284179688,1235.5217933654785,1297.4795341491701,433.22123454572403
w0e2f500,7.465817896686284e-7,0.5789618492126465,2.6566970825195315,898.9544868469237,1682.7972412109377,309.9972840639371
waedfc9c,0.00014011491736394134,0.606634521484375,3.0878417968750003,1396.0266113281248,1650.2868652343752,172.6617911475299
w96b09fe,7.872262504202003e-8,0.8424824476242065,1.0069316864013675,1210.5836510658266,1408.5269570350647,338.01246352592824
w9ff051d,0.00015214265003340646,1.0652587890625,2.3215332031250004,2571.7376708984375,1446.7330932617188,231.60294272139726
wdcfc216,0.00011190723510336807,0.4946554386615753,0.32430725097656254,1950.2165019512179,1353.380435705185,169.6271039573236
w4a3c9b0,0.00011473154609397115,1.1939291620254515,0.10595245361328148,1235.3246688842778,1407.2210073471074,219.8388973480834
wde62b3d,1.136268473411351e-6,0.7350825500488282,1.1281707763671878,5961.490249633788,895.2091217041019,347.62617199753976
w5284fa9,0.0003213928487307401,0.4183187294006348,4.386644554138184,1978.6393880844118,1481.1578512191775,182.8676803711981
w18b16aa,0.00012355539824202995,0.802175680398941,3.394548749923706,933.4465324878694,1374.5068728923795,289.9091391252149
w430272a,0.0001548281246750231,1.042267150878906,4.999981689453125,1095.2449798583987,1344.2283630371094,173.6351506730188
w2121301,0.0001483213307298463,0.6435314178466797,1.1979187011718753,896.9074249267578,1672.5467681884768,324.5107551081083
wb14ab17,8.762632187598204e-5,0.8726877689361572,0.5811195373535158,687.8720760345461,1483.4096193313603,230.7539621497032
wc59a729,9.783489301095189e-5,0.9084922981262207,3.46800537109375,1584.0378761291506,1216.5826797485354,212.0535105827546
wcb4623a,8.759352039571112e-5,1.0212586146593094,0.18856048583984386,877.49445438385,2239.8411720991135,265.2796727838645
w672a25c,0.0001694948449966786,0.695330581665039,1.4591796875,1826.4251708984377,1859.481430053711,245.16491484634557
wf36c682,0.00015582750577347595,0.8851895666122437,0.10000038146972665,816.6474342346195,1240.779709815979,200.2360622368357
w5c58b96,7.185306734169454e-5,1.16363037109375,1.1430175781250003,1545.477294921875,1442.6086425781252,207.90997166791536
w397496b,0.00013428851868152556,0.7682013028860092,3.3749274730682375,1185.838131606579,1482.001079618931,346.10224039389254
w9376389,3.6395088992463135e-7,1.0027361106872559,1.9066505432128908,2467.2616958618164,2497.0123291015625,321.9778567679138
w158db17,0.00013002105088682196,0.7486630249023437,0.2328125,1347.2610473632815,1136.1862182617188,137.98304309971772
w9864444,0.00020354078601182252,0.4104966676235199,0.12237714529037476,1201.339650154114,1192.8296536207201,169.4685280589878
w05e5ad5,6.883519013611948e-5,1.1403649330139158,1.49892692565918,258.57286453247116,1322.5105524063113,320.4742811742622
w6d23692,4.053961674924551e-10,0.6257665252685547,4.259478759765625,1029.7389984130862,1264.1048431396487,440.77731365396676
we289943,0.00013348749938981466,0.8052097845077514,2.879261589050293,1208.261752128601,1279.025650024414,267.0491947878766
w6f95ee3,0.00015548228274988514,1.1020801544189454,0.10000305175781254,1726.1646270751955,1587.8742218017578,297.1464148311397
w6eb2a0a,3.5368325757322445e-10,0.7913758087158203,2.3598144531250003,3138.0611419677734,2147.283172607422,270.15104065482967
w2424d8d,0.000159631050112808,0.8647555971145631,2.4283113479614262,906.1722755432131,1458.0412149429321,185.4849616642244
