wid,d1,d2,θ1,θ2,T1,T2,neglogl,param_count,n_trials,bic
w3c803c1,7.857125170587511e-5,6.942113329489696e-5,0.7677572631835938,0.8160838890075683,1027.5099754333498,1105.859375,466.03343569293713,6,148,962.0501450284589
wdaebe9a,2.1296493666226774e-5,1.8234538466828904e-7,1.0095169067382812,1.2683465576171875,1310.6262207031248,946.8254089355469,323.35634226272185,6,95,674.035945875047
w457a2a0,0.00010302424798621467,1.4305978832815333e-7,0.8330462646484376,0.2704611206054688,1756.5521240234377,1062.431335449219,254.67770520409834,6,100,536.9864315241252
wc71252e,2.3500987992894366e-8,6.858224246961898e-7,1.2028785240650175,0.0010000085830689175,3255.476254224777,9949.913668632507,324.63158485305564,6,95,676.5864310557146
w8250429,9.235365792448833e-5,0.00026128486739917503,1.0729931640625001,0.683736572265625,1988.0065917968752,1034.7732543945315,272.49394453697806,6,97,572.4361549449765
w5dd5645,2.42659005950664e-7,1.4440940862578395e-7,0.01885459423065189,0.361796989440918,1509.1912269592283,1822.0656871795654,305.3920273818032,6,89,637.7158729819993
wa64273f,1.102100169886344e-7,1.7600359772673071e-6,0.6680053520202636,0.6400928688049317,1945.0637817382812,1807.3344230651858,317.8917150107047,6,94,663.0431987150293
w578a7cb,2.0171367077651198e-5,9.831686863266238e-5,0.6151006326079368,0.6496862801909447,536.8095681071286,1360.9706759452822,333.014249780941,6,98,693.5383044339054
wb651fe0,3.605586846586436e-8,3.318841843714885e-7,0.9949403962492942,0.09650825738906861,2799.8490780591965,7636.018411815166,330.1810530400975,6,96,687.748195229002
wcb87506,0.00011253822184653744,3.0359329469276112e-5,0.8450896835327149,0.8073298454284668,889.0679359436036,1165.1331901550293,283.0546264183468,6,100,593.7402739526221
w11ae0c3,9.1913415812244e-5,3.5977441313637845e-6,0.62802490234375,0.7169400024414062,1282.2402954101565,1211.3967895507815,287.47357383450856,6,100,602.5781687849457
w0c70a81,7.028996232652728e-5,8.731745603950705e-6,0.614255599975586,0.6272167205810547,2313.656234741211,1205.816650390625,261.1267430718248,6,95,549.5767474932529
wbcb6e6a,0.00010668558323389044,1.3395776930301564e-5,0.851298450231552,0.38759661078453067,1797.1701920032501,1132.3877811431887,229.68477585977766,6,92,486.50028318184957
wdf61453,0.00013215808895645112,1.1393066308147113e-10,0.63068359375,0.2889208984375,1354.2968749999998,1362.060546875,246.2944122696314,6,95,519.912085888866
wa3a9848,5.774307154832664e-5,8.171064753711559e-9,1.0659932100772855,0.6872553730010986,1592.2488689422607,1325.5602955818179,295.45487517475624,6,87,617.70519906144
wf63b737,7.746589898387189e-7,9.526582856586003e-8,0.5093562507629394,0.41491936206817626,2192.5004959106445,870.8263397216799,277.5451967757675,6,80,581.3825533595783
w4ff13f3,7.558192847358914e-5,5.01976739952536e-6,1.0079760742187498,0.450859375,1241.7236328124998,1089.361572265625,302.9230515008253,6,100,633.4771241175791
w313d7aa,6.570123714845778e-8,0.00011868247559551876,0.25482997894287107,0.47597532272338866,7469.735145568847,6955.740642547607,514.228026476018,6,146,1058.3576926822861
w0e2f500,7.183287391492245e-9,0.00010602068966819924,0.2501885986328125,0.2868664550781251,7246.923828124999,6481.474304199219,295.0033591408592,6,87,616.8021669936459
waedfc9c,9.109040987440298e-5,1.4846731667409564e-5,0.9397564697265625,1.0503036499023435,465.3564453125001,1116.534423828125,250.93493263350607,6,100,529.5008863829407
w96b09fe,5.436520686716928e-6,7.775152632630484e-7,0.6410351181030274,0.6705847358703614,1927.9897689819338,1243.8920021057131,324.07260859460973,6,95,675.4684785388228
w9ff051d,1.557973964771528e-5,1.036464491549397e-5,0.5652586364746094,0.645177993774414,3116.5935277938843,852.9486656188965,339.21037785985834,6,99,705.9914748205242
wdcfc216,0.0001357101180870948,4.6821204415855475e-6,0.5187060451507568,0.0016934776306152463,2011.0739469528198,1319.9024438858037,193.15610215466614,6,100,413.94322542526083
w4a3c9b0,1.0384784201093398e-5,1.505487502101606e-8,0.7046015405654907,0.009375925064086944,2076.212215423584,1339.4291400909428,451.51441873255965,6,131,932.2800214043262
wde62b3d,8.303295390822928e-5,0.000873972570810382,0.9336988830566406,0.7256827163696289,1115.5184745788574,1242.9973602294924,270.9916204310291,6,95,569.3065022116615
w5284fa9,7.513471855032644e-8,8.070880366678913e-9,0.6204655468463898,0.9511061835289001,1346.014803647995,1258.4375143051147,324.0646544320386,6,95,675.4525702136805
w18b16aa,2.813484320665242e-6,5.793809995249493e-6,0.8299480772018433,0.021144127845764214,898.8407611846924,862.9896938800816,511.4912401512905,6,148,1052.9657539451657
w430272a,0.00013474622331388958,7.78458296538192e-9,0.793097915649414,0.7090470123291015,1072.68180847168,1181.5551757812505,250.33217672420923,6,95,527.9876147980217
w2121301,8.110829023954153e-5,3.1881594892459633e-6,0.776182746887207,0.0034854507446289533,890.2203559875488,1268.8964843749998,474.89563715444444,6,149,979.8149521445616
wb14ab17,4.4695204148916276e-5,1.1788869711201416e-6,0.47524267196655273,0.49408388137817383,1690.2576446533203,1352.0830154418945,294.7312826699352,6,94,616.7223340334904
wc59a729,0.00010331423309232017,0.0004980416061248417,0.8163690185546875,0.9267047119140625,2113.9236450195312,1215.278625488281,294.12610889514724,6,100,615.883238906223
wcb4623a,6.292571007878084e-8,4.408152309980888e-8,0.5456885528564454,0.2183447265625,2295.1568603515625,1703.904724121094,319.4221122874702,6,95,666.1674859245437
w672a25c,3.4841825904959515e-5,4.0806487867674416e-5,0.6977649223804474,0.9850020205974579,1838.4905159473421,883.6583852767945,330.3990571085983,6,98,688.30791908922
wf36c682,0.00018626943685048659,5.8523997673538396e-5,0.6419830322265625,0.34121856689453123,1159.4772338867188,1225.7110595703125,214.56241432119958,6,94,456.38459733601917
w5c58b96,0.000128377818117919,7.183413583781622e-5,0.501905117034912,1.426213912963867,494.50054168701195,4397.762393951416,300.09904913713757,6,87,626.9935469862027
w397496b,0.00010878120359802085,2.3382721329805054e-5,0.37699214607477194,0.6479941496253013,1636.2848669290543,606.7949190735817,506.6777990784227,6,149,1043.3792759925182
w9376389,3.2645585559369825e-6,5.462656214995477e-7,0.7687693786621094,0.679876937866211,6379.758071899414,5990.361404418945,314.8580796327857,6,93,656.9117562244909
w158db17,0.0001533339867740923,9.012898950885932e-6,0.7552040100097657,0.001004257202148453,1481.7909240722659,563.2514953613284,218.65804360717726,6,95,464.63934856395775
w9864444,0.00015580218620329407,3.974140016498141e-8,0.47489145278930667,0.5355107498168945,1257.478427886963,915.5129432678224,321.5934324016964,6,147,673.1294603240652
w05e5ad5,0.0001280984708030458,8.645051367493429e-8,0.8162783813476563,0.5001055908203125,2149.8306274414062,1332.7041625976565,282.21302036009155,6,93,591.6216376791026
w6d23692,8.32491175575573e-5,9.597427634732929e-6,0.6247298622131348,0.22965549468994145,1352.7198791503906,1253.5056114196777,464.71622884297796,6,146,959.334097416206
we289943,0.00010779354963176645,0.0007757280089577749,0.8901628112792968,0.020438385009765633,957.743072509766,1175.4898071289062,421.91149768461327,6,148,873.8062690118112
w6f95ee3,3.554522355611886e-5,4.634635938794983e-6,0.18402343750000005,0.912021484375,6905.322265624999,3799.853515625,500.21019549078494,6,148,1030.4036646241545
w6eb2a0a,5.23258214752987e-7,8.827434173078671e-6,0.7224653463065625,0.2872475694864989,2604.594377055764,1500.3109112381935,287.4748630745422,6,85,601.6056336880263
w2424d8d,7.508837078760884e-5,0.00020561127786928395,0.49328101038932803,0.3590468347072601,1413.8654291629794,792.8531825542451,340.42024832054034,6,99,708.4112157418882
